timestamp,x,y,scale
2023-08-01 20:33:24,125,397,3
2023-08-01 20:33:24,125,400,2
2023-08-01 20:33:24,125,401,2
2023-08-01 20:33:24,125,403,2
2023-08-01 20:33:24,125,405,2
2023-08-01 20:33:24,124,407,2
2023-08-01 20:33:24,123,410,2
2023-08-01 20:33:24,123,411,2
2023-08-01 20:33:24,122,413,2
2023-08-01 20:33:24,122,414,2
2023-08-01 20:33:24,122,417,2
2023-08-01 20:33:24,121,420,2
2023-08-01 20:33:24,121,421,2
2023-08-01 20:33:24,120,424,2
2023-08-01 20:33:24,119,426,2
2023-08-01 20:33:24,119,428,2
2023-08-01 20:33:24,119,430,2
2023-08-01 20:33:24,119,435,2
2023-08-01 20:33:24,117,438,2
2023-08-01 20:33:24,115,441,2
2023-08-01 20:33:24,114,444,2
2023-08-01 20:33:24,114,446,2
2023-08-01 20:33:24,113,448,2
2023-08-01 20:33:24,112,449,2
2023-08-01 20:33:24,112,451,2
2023-08-01 20:33:24,112,452,2
2023-08-01 20:33:24,112,454,2
2023-08-01 20:33:24,111,456,2
2023-08-01 20:33:24,110,457,2
2023-08-01 20:33:24,109,461,2
2023-08-01 20:33:24,109,462,2
2023-08-01 20:33:24,108,464,2
2023-08-01 20:33:24,108,465,2
2023-08-01 20:33:24,107,466,2
2023-08-01 20:33:24,107,468,2
2023-08-01 20:33:24,107,470,2
2023-08-01 20:33:24,107,471,2
2023-08-01 20:33:24,106,472,2
2023-08-01 20:33:24,105,473,2
2023-08-01 20:33:24,105,474,2
2023-08-01 20:33:24,105,476,2
2023-08-01 20:33:24,104,477,2
2023-08-01 20:33:24,104,478,2
2023-08-01 20:33:24,104,479,2
2023-08-01 20:33:24,104,480,2
2023-08-01 20:33:24,104,481,2
2023-08-01 20:33:24,104,482,2
2023-08-01 20:33:24,103,482,2
2023-08-01 20:33:24,103,483,2
2023-08-01 20:33:24,103,484,2
2023-08-01 20:33:24,103,485,2
2023-08-01 20:33:24,102,486,2
2023-08-01 20:33:24,102,487,2
2023-08-01 20:33:24,102,488,2
2023-08-01 20:33:24,101,488,2
2023-08-01 20:33:25,101,489,2
2023-08-01 20:33:25,101,490,2
2023-08-01 20:33:25,101,492,2
2023-08-01 20:33:25,101,493,2
2023-08-01 20:33:25,100,494,2
2023-08-01 20:33:25,100,496,2
2023-08-01 20:33:25,100,497,2
2023-08-01 20:33:25,100,498,2
2023-08-01 20:33:25,100,499,2
2023-08-01 20:33:25,100,500,2
2023-08-01 20:33:25,99,500,2
2023-08-01 20:33:25,99,501,2
2023-08-01 20:33:25,99,502,2
2023-08-01 20:33:25,98,503,2
2023-08-01 20:33:25,98,504,2
2023-08-01 20:33:25,98,505,2
2023-08-01 20:33:25,98,507,2
2023-08-01 20:33:25,98,508,2
2023-08-01 20:33:25,98,510,2
2023-08-01 20:33:25,98,511,2
2023-08-01 20:33:25,98,513,2
2023-08-01 20:33:25,97,515,2
2023-08-01 20:33:25,97,517,2
2023-08-01 20:33:25,97,520,2
2023-08-01 20:33:25,97,521,2
2023-08-01 20:33:25,97,523,2
2023-08-01 20:33:25,96,526,2
2023-08-01 20:33:25,96,528,2
2023-08-01 20:33:25,96,531,2
2023-08-01 20:33:25,96,534,2
2023-08-01 20:33:25,96,536,2
2023-08-01 20:33:25,96,539,2
2023-08-01 20:33:25,96,541,2
2023-08-01 20:33:25,96,544,2
2023-08-01 20:33:25,96,547,2
2023-08-01 20:33:25,96,550,1
2023-08-01 20:33:25,96,552,1
2023-08-01 20:33:25,96,554,1
2023-08-01 20:33:25,96,558,1
2023-08-01 20:33:25,96,559,1
2023-08-01 20:33:25,96,562,1
2023-08-01 20:33:25,96,563,1
2023-08-01 20:33:25,96,565,1
2023-08-01 20:33:25,96,568,1
2023-08-01 20:33:25,96,570,1
2023-08-01 20:33:25,96,572,1
2023-08-01 20:33:25,96,574,1
2023-08-01 20:33:25,96,575,1
2023-08-01 20:33:25,96,577,1
2023-08-01 20:33:25,96,579,1
2023-08-01 20:33:25,96,580,1
2023-08-01 20:33:25,96,582,1
2023-08-01 20:33:25,96,584,1
2023-08-01 20:33:25,96,586,1
2023-08-01 20:33:25,96,588,1
2023-08-01 20:33:25,96,590,1
2023-08-01 20:33:25,96,592,1
2023-08-01 20:33:25,96,593,1
2023-08-01 20:33:25,96,595,1
2023-08-01 20:33:25,96,597,1
2023-08-01 20:33:25,96,599,1
2023-08-01 20:33:25,96,600,1
2023-08-01 20:33:25,96,602,1
2023-08-01 20:33:25,96,604,1
2023-08-01 20:33:25,96,606,1
2023-08-01 20:33:25,96,607,1
2023-08-01 20:33:25,96,608,1
2023-08-01 20:33:25,96,609,1
2023-08-01 20:33:25,96,610,1
2023-08-01 20:33:25,96,611,1
2023-08-01 20:33:25,96,613,1
2023-08-01 20:33:25,96,614,1
2023-08-01 20:33:25,96,615,1
2023-08-01 20:33:25,96,616,1
2023-08-01 20:33:25,96,617,1
2023-08-01 20:33:25,96,618,1
2023-08-01 20:33:25,96,619,1
